event,id,send_time,received_time,time_delta
DHT11DATA,dee378d5-0d89-4d6a-9bf1-28236c84504e,2019-10-25 09:29:02.836,2019-10-25 09:29:03.099669,0:00:00.263669
DHT11DATA,dee378d5-0d89-4d6a-9bf1-28236c84504e,2019-10-25 09:29:02.836,2019-10-25 09:29:03.107670,0:00:00.271670
DHT11DATA,9440c686-702b-4865-9c70-a733325ba065,2019-10-25 09:29:07.941,2019-10-25 09:29:08.392278,0:00:00.451278
DHT11DATA,9440c686-702b-4865-9c70-a733325ba065,2019-10-25 09:29:07.941,2019-10-25 09:29:08.394451,0:00:00.453451
DHT11DATA,ef7ea89a-7fdd-4400-a7ba-f2406fb8614f,2019-10-25 09:29:13.037,2019-10-25 09:29:14.026798,0:00:00.989798
DHT11DATA,ef7ea89a-7fdd-4400-a7ba-f2406fb8614f,2019-10-25 09:29:13.037,2019-10-25 09:29:14.027097,0:00:00.990097
DHT11DATA,4a953fa6-55b2-433c-8c56-146a2dd203e6,2019-10-25 09:29:18.130,2019-10-25 09:29:18.631428,0:00:00.501428
DHT11DATA,4a953fa6-55b2-433c-8c56-146a2dd203e6,2019-10-25 09:29:18.130,2019-10-25 09:29:18.636534,0:00:00.506534
DHT11DATA,462feca8-8df0-4538-bd84-df28d42ca7a2,2019-10-25 09:29:23.235,2019-10-25 09:29:24.172790,0:00:00.937790
DHT11DATA,462feca8-8df0-4538-bd84-df28d42ca7a2,2019-10-25 09:29:23.235,2019-10-25 09:29:24.172790,0:00:00.937790
DHT11DATA,bdd56a06-9daa-463a-86a0-8017bb42ec09,2019-10-25 09:29:28.332,2019-10-25 09:29:29.794380,0:00:01.462380
DHT11DATA,bdd56a06-9daa-463a-86a0-8017bb42ec09,2019-10-25 09:29:28.332,2019-10-25 09:29:29.795304,0:00:01.463304
DHT11DATA,94802956-1106-4f9f-a23f-28c9fbfaf4e4,2019-10-25 09:29:33.428,2019-10-25 09:29:33.721152,0:00:00.293152
DHT11DATA,94802956-1106-4f9f-a23f-28c9fbfaf4e4,2019-10-25 09:29:33.428,2019-10-25 09:29:33.725322,0:00:00.297322
DHT11DATA,6387f065-d1cc-4077-acc8-0a664600671b,2019-10-25 09:29:38.545,2019-10-25 09:29:38.813399,0:00:00.268399
DHT11DATA,6387f065-d1cc-4077-acc8-0a664600671b,2019-10-25 09:29:38.545,2019-10-25 09:29:38.814293,0:00:00.269293
DHT11DATA,676d39b9-91de-4ccb-81d4-415a64961ede,2019-10-25 09:29:43.644,2019-10-25 09:29:45.153805,0:00:01.509805
DHT11DATA,676d39b9-91de-4ccb-81d4-415a64961ede,2019-10-25 09:29:43.644,2019-10-25 09:29:45.153804,0:00:01.509804
DHT11DATA,fc9f1964-6db4-405d-bf95-f665d798e508,2019-10-25 09:29:48.740,2019-10-25 09:29:49.438811,0:00:00.698811
DHT11DATA,fc9f1964-6db4-405d-bf95-f665d798e508,2019-10-25 09:29:48.740,2019-10-25 09:29:49.441472,0:00:00.701472
DHT11DATA,f501d1a1-4d43-4892-834b-f67fba72adf0,2019-10-25 09:29:53.849,2019-10-25 09:29:55.103611,0:00:01.254611
DHT11DATA,f501d1a1-4d43-4892-834b-f67fba72adf0,2019-10-25 09:29:53.849,2019-10-25 09:29:55.103910,0:00:01.254910
DHT11DATA,96a347a0-7435-4f34-8c87-38fd97834d1d,2019-10-25 09:29:58.946,2019-10-25 09:29:59.188456,0:00:00.242456
DHT11DATA,96a347a0-7435-4f34-8c87-38fd97834d1d,2019-10-25 09:29:58.946,2019-10-25 09:29:59.189745,0:00:00.243745
DHT11DATA,b3b22438-38b7-41c5-ab68-ddaea12c07a2,2019-10-25 09:30:04.047,2019-10-25 09:30:04.339078,0:00:00.292078
DHT11DATA,b3b22438-38b7-41c5-ab68-ddaea12c07a2,2019-10-25 09:30:04.047,2019-10-25 09:30:04.340460,0:00:00.293460
DHT11DATA,12cc470e-0620-4496-9f2a-5a4563b548fc,2019-10-25 09:30:09.145,2019-10-25 09:30:09.598082,0:00:00.453082
DHT11DATA,12cc470e-0620-4496-9f2a-5a4563b548fc,2019-10-25 09:30:09.145,2019-10-25 09:30:09.602694,0:00:00.457694
DHT11DATA,e47f6051-6647-40d8-951f-ee626b6c6a74,2019-10-25 09:31:55.155,2019-10-25 09:31:55.610490,0:00:00.455490
DHT11DATA,e47f6051-6647-40d8-951f-ee626b6c6a74,2019-10-25 09:31:55.155,2019-10-25 09:31:55.610490,0:00:00.455490
DHT11DATA,1fba2748-89d2-4553-9c76-55dcaa2a1581,2019-10-25 09:32:00.250,2019-10-25 09:32:01.038640,0:00:00.788640
DHT11DATA,1fba2748-89d2-4553-9c76-55dcaa2a1581,2019-10-25 09:32:00.250,2019-10-25 09:32:01.040625,0:00:00.790625
DHT11DATA,7fa6150d-ffe4-4b6b-928f-e9e1ba0345f7,2019-10-25 09:32:05.344,2019-10-25 09:32:06.466455,0:00:01.122455
DHT11DATA,7fa6150d-ffe4-4b6b-928f-e9e1ba0345f7,2019-10-25 09:32:05.344,2019-10-25 09:32:06.482087,0:00:01.138087
DHT11DATA,2194dd06-106e-4470-9ec9-0908719b55e1,2019-10-25 09:32:10.443,2019-10-25 09:32:10.730469,0:00:00.287469
DHT11DATA,2194dd06-106e-4470-9ec9-0908719b55e1,2019-10-25 09:32:10.443,2019-10-25 09:32:10.735046,0:00:00.292046
DHT11DATA,df933249-56b6-46e7-9d75-b2a234826015,2019-10-25 09:32:15.542,2019-10-25 09:32:16.716574,0:00:01.174574
DHT11DATA,df933249-56b6-46e7-9d75-b2a234826015,2019-10-25 09:32:15.542,2019-10-25 09:32:16.779431,0:00:01.237431
DHT11DATA,9c5494ec-93f1-4c77-9d16-9063d8e9469d,2019-10-25 09:32:20.644,2019-10-25 09:32:22.011592,0:00:01.367592
DHT11DATA,9c5494ec-93f1-4c77-9d16-9063d8e9469d,2019-10-25 09:32:20.644,2019-10-25 09:32:22.015087,0:00:01.371087
DHT11DATA,6b84724f-645a-4f88-a01a-f70a1a655345,2019-10-25 09:32:25.743,2019-10-25 09:32:25.979362,0:00:00.236362
DHT11DATA,6b84724f-645a-4f88-a01a-f70a1a655345,2019-10-25 09:32:25.743,2019-10-25 09:32:25.979361,0:00:00.236361
DHT11DATA,9b959052-cebc-4b70-ad72-7f5b82deb0da,2019-10-25 09:32:30.839,2019-10-25 09:32:31.096412,0:00:00.257412
DHT11DATA,9b959052-cebc-4b70-ad72-7f5b82deb0da,2019-10-25 09:32:30.839,2019-10-25 09:32:31.100673,0:00:00.261673
DHT11DATA,d0c9c530-991a-42e8-adf7-bf106c8cbd30,2019-10-25 09:32:35.934,2019-10-25 09:32:36.775945,0:00:00.841945
DHT11DATA,d0c9c530-991a-42e8-adf7-bf106c8cbd30,2019-10-25 09:32:35.934,2019-10-25 09:32:36.789605,0:00:00.855605
DHT11DATA,cc56bdc2-5157-4a78-a6b4-f7cc2051bc9b,2019-10-25 09:32:41.028,2019-10-25 09:32:41.319750,0:00:00.291750
DHT11DATA,cc56bdc2-5157-4a78-a6b4-f7cc2051bc9b,2019-10-25 09:32:41.028,2019-10-25 09:32:41.319747,0:00:00.291747
